no;question;a;b;c;d;e;answer;explained;source;qa_comb
12;Tentang Pemilihan Umum Anggota DPR, DPD, dan DPRD menyebutkan bahwa peserta pemilu dan warga masyarakat melalui saksi peserta pemilu yang hadir dapat mengajukan keberatan terhadap jalannya dan hasil perhitungan suara di TPS, PPS, PPK, KPUD Kota/Kabupaten, KPU Provinsi, dan KPU Pusat apabila ternyata terdapat hal-hal yang tidak sesuai dengan peraturan perundang-undangan, ada pada...;Pasal 96 ayat (8), Pasal 95 ayat (3), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6);Pasal 96 ayat (8), Pasal 95 ayat (1), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6);Pasal 96 ayat (8), Pasal 96 ayat (3), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6);Pasal 96 ayat (8), Pasal 97 ayat (9), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6);Pasal 96 ayat (8), Pasal 97 ayat (3), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6);e;Bahwa selain itu Pasal 96 ayat (8), Pasal 97 ayat (3), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6) Undangundang Nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, dan DPRD menyebutkan bahwa peserta pemilu dan warga masyarakat melalui saksi peserta pemilu yang hadir dapat mengajukan keberatan terhadap jalannya dan hasil perhitungan suara di TPS, PPS, PPK, KPUD Kota/Kabupaten, KPU Provinsi, dan KPU Pusat apabila ternyata terdapat hal-hal yang tidak sesuai dengan peraturan perundang-undangan;107_051_PHPU.A-II.pdf;Tentang Pemilihan Umum Anggota DPR, DPD, dan DPRD menyebutkan bahwa peserta pemilu dan warga masyarakat melalui saksi peserta pemilu yang hadir dapat mengajukan keberatan terhadap jalannya dan hasil perhitungan suara di TPS, PPS, PPK, KPUD Kota/Kabupaten, KPU Provinsi, dan KPU Pusat apabila ternyata terdapat hal-hal yang tidak sesuai dengan peraturan perundang-undangan, ada pada...\n A.  Pasal 96 ayat (8), Pasal 95 ayat (3), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6)\n B.  Pasal 96 ayat (8), Pasal 95 ayat (1), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6)\n C.  Pasal 96 ayat (8), Pasal 96 ayat (3), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6)\n D.  Pasal 96 ayat (8), Pasal 97 ayat (9), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6)\n E.  Pasal 96 ayat (8), Pasal 97 ayat (3), Pasal 98 ayat (3), Pasal 99 ayat (5), Pasal 100 ayat (5), dan Pasal 101 ayat (6)
13;Pada pokoknya menyebutkan permohonan hanya dapat dilakukan terhadap Penetapan hasil Pemilihan Umum yang dilakukan secara nasional oleh Komisi Pemilihan Umum yang mempengaruhi terpilihnya calon anggota DPD, Penentuan pasangan calon Presiden dan Wakil Presiden dan Perolehan Kursi Partai Politik, pada...;Bahwa pasal 74 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD;Bahwa pasal 73 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD;Bahwa pasal 72 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD;Bahwa pasal 71 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD;Bahwa pasal 70 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD;a;Bahwa pasal 74 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD pada pokoknya menyebutkan permohonan hanya dapat dilakukan terhadap Penetapan hasil Pemilihan Umum yang dilakukan secara nasional oleh Komisi Pemilihan Umum yang mempengaruhi terpilihnya calon anggota DPD, Penentuan pasangan calon Presiden dan Wakil Presiden dan Perolehan Kursi Partai Politik.;116_032_PHPU.A-II1.pdf;Pada pokoknya menyebutkan permohonan hanya dapat dilakukan terhadap Penetapan hasil Pemilihan Umum yang dilakukan secara nasional oleh Komisi Pemilihan Umum yang mempengaruhi terpilihnya calon anggota DPD, Penentuan pasangan calon Presiden dan Wakil Presiden dan Perolehan Kursi Partai Politik, pada...\n A.  Bahwa pasal 74 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD\n B.  Bahwa pasal 73 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD\n C.  Bahwa pasal 72 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD\n D.  Bahwa pasal 71 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD\n E.  Bahwa pasal 70 ayat (2) Undang-undang nomor 24 Tahun 2003 tentang Mahkamah Konstitusi, Undang-undang nomor 12 Tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD
14;Bahwa seandainya Permohonan pemohon diterima, quod non, pasal 96 ayat (8), pasal 97 ayat (3), pasal 98 ayat (3), pasal 99 ayat (5), pasal 100 ayat (5) dan pasal 101 ayat (6) UU No. 12 tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD, berbunyi...;Menyebutkan bahwa peserta Pemilu dan warga masyarakat yang mengikuti pemilihan umum harus warga negara Indonesia yang salah secara hukum;Menyebutkan bahwa peserta Pemilu dan warga masyarakat melalui saksi peserta pemilu yang hadir dapat mengajukan keberatan terhadap jalannya dan hasil penghitungan suara di TPS, PPS, PPK KPUD Kota/Kabupaten, KPUD Propinsi dan KPU Pusat apabila ternyata terdapat hal-hal yang tidak sesuai dengan peraturan perundang-undangan;Menyebutkan bahwa perhitungan suara dilakukan oleh RT/RW sekitar agar lebih baik;Menyebutkan bahwa peserta penyedia TPU harus ada saksi dari masing-masing partai yang mengikutkan calon mereka;Menyebutkan bahwa peserta harus sesuai dengan aturan;b;Bahwa seandainya Permohonan pemohon diterima, quod non, pasal 96 ayat (8), pasal 97 ayat (3), pasal 98 ayat (3), pasal 99 ayat (5), pasal 100 ayat (5) dan pasal 101 ayat (6) UU No. 12 tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD menyebutkan bahwa peserta Pemilu dan warga masyarakat melalui saksi peserta pemilu yang hadir dapat mengajukan keberatan terhadap jalannya dan hasil penghitungan suara di TPS, PPS, PPK KPUD Kota/Kabupaten, KPUD Propinsi dan KPU Pusat apabila ternyata terdapat hal-hal yang tidak sesuai dengan peraturan perundang-undangan;116_032_PHPU.A-II1.pdf;Bahwa seandainya Permohonan pemohon diterima, quod non, pasal 96 ayat (8), pasal 97 ayat (3), pasal 98 ayat (3), pasal 99 ayat (5), pasal 100 ayat (5) dan pasal 101 ayat (6) UU No. 12 tahun 2003 tentang Pemilihan Umum Anggota DPR, DPD, DPRD, berbunyi...\n A.  Menyebutkan bahwa peserta Pemilu dan warga masyarakat yang mengikuti pemilihan umum harus warga negara Indonesia yang salah secara hukum\n B.  Menyebutkan bahwa peserta Pemilu dan warga masyarakat melalui saksi peserta pemilu yang hadir dapat mengajukan keberatan terhadap jalannya dan hasil penghitungan suara di TPS, PPS, PPK KPUD Kota/Kabupaten, KPUD Propinsi dan KPU Pusat apabila ternyata terdapat hal-hal yang tidak sesuai dengan peraturan perundang-undangan\n C.  Menyebutkan bahwa perhitungan suara dilakukan oleh RT/RW sekitar agar lebih baik\n D.  Menyebutkan bahwa peserta penyedia TPU harus ada saksi dari masing-masing partai yang mengikutkan calon mereka\n E.  Menyebutkan bahwa peserta harus sesuai dengan aturan
15;Warga negara yang mempunyai hak pilih, pemantau pemilu dan/atau peserta pemilu dapat melaporkan pelanggaran pemilu pada setiap tahapan penyelenggaraan pemilu kepada Pengawas Pemilu (Panwaslu), ada di...;Pasal 121 ayat (1) dan ayat (2) UU No. 12 Tahun 2003;Pasal 122 ayat (1) dan ayat (2) UU No. 12 Tahun 2003;Pasal 127 ayat (1) dan ayat (2) UU No. 12 Tahun 2003;Pasal 126 ayat (1) dan ayat (2) UU No. 12 Tahun 2003;Pasal 125 ayat (1) dan ayat (2) UU No. 12 Tahun 2003;c;Bahwa seandainya ada dugaan kecurangan ataupun manipulasi yang dilakukan pihak-pihak tertentu termasuk pihak penyelenggara Pemilu di DKI Jakarta, maka menurut pasal 127 ayat (1) dan ayat (2) UU No. 12 Tahun 2003 warga negara yang mempunyai hak pilih, pemantau pemilu dan/atau peserta pemilu dapat melaporkan pelanggaran pemilu pada setiap tahapan penyelenggaraan pemilu kepada Pengawas Pemilu (Panwaslu).;116_032_PHPU.A-II1.pdf;Warga negara yang mempunyai hak pilih, pemantau pemilu dan/atau peserta pemilu dapat melaporkan pelanggaran pemilu pada setiap tahapan penyelenggaraan pemilu kepada Pengawas Pemilu (Panwaslu), ada di...\n A.  Pasal 121 ayat (1) dan ayat (2) UU No. 12 Tahun 2003\n B.  Pasal 122 ayat (1) dan ayat (2) UU No. 12 Tahun 2003\n C.  Pasal 127 ayat (1) dan ayat (2) UU No. 12 Tahun 2003\n D.  Pasal 126 ayat (1) dan ayat (2) UU No. 12 Tahun 2003\n E.  Pasal 125 ayat (1) dan ayat (2) UU No. 12 Tahun 2003
16;Laporan yang bersifat sengketa dan tidak mengandung unsur pidana diselesaikan oleh Pengawas Pemilu dan yang berunsur pidana diteruskan ke penyidik dan yang bersifat administratif diteruskan ke KPU, dinyatakan dalam…;Pasal 128 dan 130 UU No. 12 tahun 2003;Pasal 127 dan 130 UU No. 12 tahun 2003;Pasal 126 dan 130 UU No. 12 tahun 2003;Pasal 125 dan 130 UU No. 12 tahun 2003;Pasal 124 dan 130 UU No. 12 tahun 2003;a;Pasal 128 dan 130 UU No. 12 tahun 2003 menyatakan laporan yang bersifat sengketa dan tidak mengandung unsur pidana diselesaikan oleh Pengawas Pemilu dan yang berunsur pidana diteruskan ke penyidik dan yang bersifat administratif diteruskan ke KPU.;116_032_PHPU.A-II1.pdf;Laporan yang bersifat sengketa dan tidak mengandung unsur pidana diselesaikan oleh Pengawas Pemilu dan yang berunsur pidana diteruskan ke penyidik dan yang bersifat administratif diteruskan ke KPU, dinyatakan dalam…\n A.  Pasal 128 dan 130 UU No. 12 tahun 2003\n B.  Pasal 127 dan 130 UU No. 12 tahun 2003\n C.  Pasal 126 dan 130 UU No. 12 tahun 2003\n D.  Pasal 125 dan 130 UU No. 12 tahun 2003\n E.  Pasal 124 dan 130 UU No. 12 tahun 2003
17;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 20 A ayat 1 UUD Negara RI Tahun 1945;Pembukaan UUD Negara RI Tahun 1945;Pasal 10 A ayat 1 UUD Negara RI Tahun 1945;Pasal 10 B ayat 1 UUD Negara RI Tahun 1945;c;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh: Pembukaan UUD Negara RI Tahun 1945, Pasal 1 ayat 2 UUD Negara RI Tahun 1945, Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945, Pasal 28 C ayat 2 UUD Negara RI Tahun 1945, Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945, Pasal 28 H ayat 2 UUD Negara RI Tahun 1945, Pasal 28 I ayat 2 UUD Negara RI Tahun 1945, dan Pasal 28 J ayat 1 UUD Negara RI Tahun 1945.;53_Putusan054PUUII2004.pdf;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 20 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pembukaan UUD Negara RI Tahun 1945\n D.  Pasal 10 A ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 10 B ayat 1 UUD Negara RI Tahun 1945
18;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 20 A ayat 1 UUD Negara RI Tahun 1945;Pasal 10 A ayat 1 UUD Negara RI Tahun 1945;Pasal 10 B ayat 1 UUD Negara RI Tahun 1945;Pasal 28 J ayat 1 UUD Negara RI Tahun 1944;e;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh: Pembukaan UUD Negara RI Tahun 1945, Pasal 1 ayat 2 UUD Negara RI Tahun 1945, Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945, Pasal 28 C ayat 2 UUD Negara RI Tahun 1945, Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945, Pasal 28 H ayat 2 UUD Negara RI Tahun 1945, Pasal 28 I ayat 2 UUD Negara RI Tahun 1945, dan Pasal 28 J ayat 1 UUD Negara RI Tahun 1945.;53_Putusan054PUUII2004.pdf;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 20 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 10 A ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 10 B ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 28 J ayat 1 UUD Negara RI Tahun 1944
19;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...;Pasal 28 I ayat 2 UUD Negara RI Tahun 1945;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 20 A ayat 1 UUD Negara RI Tahun 1945;Pasal 10 A ayat 1 UUD Negara RI Tahun 1945;Pasal 10 B ayat 1 UUD Negara RI Tahun 1945;a;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh: Pembukaan UUD Negara RI Tahun 1945, Pasal 1 ayat 2 UUD Negara RI Tahun 1945, Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945, Pasal 28 C ayat 2 UUD Negara RI Tahun 1945, Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945, Pasal 28 H ayat 2 UUD Negara RI Tahun 1945, Pasal 28 I ayat 2 UUD Negara RI Tahun 1945, dan Pasal 28 J ayat 1 UUD Negara RI Tahun 1945.;53_Putusan054PUUII2004.pdf;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...\n A.  Pasal 28 I ayat 2 UUD Negara RI Tahun 1945\n B.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 20 A ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 10 A ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 10 B ayat 1 UUD Negara RI Tahun 1945
20;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 28 H ayat 2 UUD Negara RI Tahun 1945;Pasal 20 A ayat 1 UUD Negara RI Tahun 1945;Pasal 2G A ayat 1 UUD Negara RI Tahun 1945;Pasal 2X A ayat 1 UUD Negara RI Tahun 1945;b;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh: Pembukaan UUD Negara RI Tahun 1945, Pasal 1 ayat 2 UUD Negara RI Tahun 1945, Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945, Pasal 28 C ayat 2 UUD Negara RI Tahun 1945, Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945, Pasal 28 H ayat 2 UUD Negara RI Tahun 1945, Pasal 28 I ayat 2 UUD Negara RI Tahun 1945, dan Pasal 28 J ayat 1 UUD Negara RI Tahun 1945.;53_Putusan054PUUII2004.pdf;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 28 H ayat 2 UUD Negara RI Tahun 1945\n C.  Pasal 20 A ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 2G A ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 2X A ayat 1 UUD Negara RI Tahun 1945
21;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...;Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945;Pasal 20 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 20 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;a;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh: Pembukaan UUD Negara RI Tahun 1945, Pasal 1 ayat 2 UUD Negara RI Tahun 1945, Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945, Pasal 28 C ayat 2 UUD Negara RI Tahun 1945, Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945, Pasal 28 H ayat 2 UUD Negara RI Tahun 1945, Pasal 28 I ayat 2 UUD Negara RI Tahun 1945, dan Pasal 28 J ayat 1 UUD Negara RI Tahun 1945.;53_Putusan054PUUII2004.pdf;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...\n A.  Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945\n B.  Pasal 20 A ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 20 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945
22;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 20 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 28 C ayat 2 UUD Negara RI Tahun 1945;e;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh: Pembukaan UUD Negara RI Tahun 1945, Pasal 1 ayat 2 UUD Negara RI Tahun 1945, Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945, Pasal 28 C ayat 2 UUD Negara RI Tahun 1945, Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945, Pasal 28 H ayat 2 UUD Negara RI Tahun 1945, Pasal 28 I ayat 2 UUD Negara RI Tahun 1945, dan Pasal 28 J ayat 1 UUD Negara RI Tahun 1945.;53_Putusan054PUUII2004.pdf;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 20 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 28 C ayat 2 UUD Negara RI Tahun 1945
23;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 20 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945;e;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh: Pembukaan UUD Negara RI Tahun 1945, Pasal 1 ayat 2 UUD Negara RI Tahun 1945, Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945, Pasal 28 C ayat 2 UUD Negara RI Tahun 1945, Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945, Pasal 28 H ayat 2 UUD Negara RI Tahun 1945, Pasal 28 I ayat 2 UUD Negara RI Tahun 1945, dan Pasal 28 J ayat 1 UUD Negara RI Tahun 1945.;53_Putusan054PUUII2004.pdf;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 20 Y ayat 1 UUD Negara RI Tahun 1945\n E.  Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945
24;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...;Pasal 21 A ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945;Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945;Pasal 1 ayat 2 UUD Negara RI Tahun 1945;Pasal 20 Y ayat 1 UUD Negara RI Tahun 1945;d;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh: Pembukaan UUD Negara RI Tahun 1945, Pasal 1 ayat 2 UUD Negara RI Tahun 1945, Pasal 27 ayat 1 ayat 3 UUD Negara RI Tahun 1945, Pasal 28 C ayat 2 UUD Negara RI Tahun 1945, Pasal 28 D ayat 1 dan ayat 3 UUD Negara RI Tahun 1945, Pasal 28 H ayat 2 UUD Negara RI Tahun 1945, Pasal 28 I ayat 2 UUD Negara RI Tahun 1945, dan Pasal 28 J ayat 1 UUD Negara RI Tahun 1945.;53_Putusan054PUUII2004.pdf;Pemohon turut mencalonkan diri sebagai Calon Presiden dan atau Calon Wakil Presiden adalah berdasarkan hak dan kewajiban Pemohon sebagai warga negara Republik Indonesia yang dibenarkan, disahkan, dijamin dan dilindungi oleh, Salah satu dari daftar pasal adalah...\n A.  Pasal 21 A ayat 1 UUD Negara RI Tahun 1945\n B.  Pasal 21 Z ayat 1 UUD Negara RI Tahun 1945\n C.  Pasal 21 Y ayat 1 UUD Negara RI Tahun 1945\n D.  Pasal 1 ayat 2 UUD Negara RI Tahun 1945\n E.  Pasal 20 Y ayat 1 UUD Negara RI Tahun 1945
