"id","question_id","question","question_date","question_by","answer_date","answer"
"11","13974","Kalau perbuatan dua.orang yg melakukan video call dengan melakukan perbuatn sex mstirbsi atau onani, msuk ke ranah zina juga, admin","09-08-2021","Owan","10-08-2021","Salam Konstitusi, Mohon maaf, kami tidak dapat menjawab pertanyaan saudara, sebab pertanyaan tersebut membutuhkan diskusi yang lebih mendalam. Kami menyarankan agar saudara mengajukan permohonan penelitian atau wawancara kepada Pusat Penelitian dan Pengkajian Perkara MKRI. Terima Kasih."
"12","13972","Berapa lama setelah mendaftarkan Gugatan Sengketa Pilkada, untukasukan materi gugatan","09-08-2021","Ronald Winder Duwiri","10-08-2021","Salam Konstitusi, Berdasarkan Pasal 13 PMK Nomor 6 Tahun 2020 tentang Tata cara Beracara Perkara Perselisihan hasil Pemilihan Gubernur, Bupati, dan Walikota. Jika saudara mengajukan permohonan secara luring (offline), saudara dapat memperbaiki dan melengkapi permohonan paling lama 3 (tiga) hari kerja sejak diterimanya AP3 oleh Pemohon atau kuasa hukum. Namun jika saudara mengajukan permohonan secara daring (online),saudara dapat memperbaiki dan melengkapi permohonan paling lama 3 (tiga) hari kerja sejak dikirimkannya AP3 kepada Pemohon atau kuasa hukum. Terima kasih."
"13","13969","Pak, saya tidak diperlakukan dengan adil oleh tenaga yang bekerja di puskesmas situjuah batua pak kab 50. Privinsi Sumatera Barat pak. Pak masa saya tes buta warna pas SMP dia bilang dia bilang, Kamu buta! Gak bisaliat pak dan bukan cuma saya yang nggak diperlakukan adil pak, kadang kalau org lainnya kaya pak mereka santun pak, pak saya berhak untuk diperlakukan adil menurut pasal 24 D pak. Mereka wajib menghormati saya atas pasal 28 J pak. Tapi mereka gak. Pak nama perempuan itu Merry pak, ada juga yang bawa mobil ambulans, jelas orang sakit dimarahmarahin. Pernah loh pak dia ngomong gini Tck orang bodoh, ntah tau dia apa yang kanker ntah tidak, tapi pakai dialek padang pak, lebih kasar kan pak. Saya mau Ditukar pak, tukar orang yang bekerja di puskemas situjuah semuanya pak, padahal mereka pns gara2 kami juga pak. Mereka semena2. Saya memang gak.bisa merekam hingga gak ada bukti tapi saya ngomong jujur pak. Allah tau, dan Tuhan tau, seandainya saya masih tidak diperlakukan adil saya percaya Tuhan.alan membalasnya (tapi pak, jangn kasih tau identitas saya ya pak) saya mau kuliah dan jadi dokter, buat buktiin kalau saya bisaa dan membalas para kroco yang lupa kukitnya itu pak) trimaksih pak","07-08-2021","Ily","08-08-2021","Salam Konstitusi. Kami turut prihatin terhadap permasalahan yang saudara hadapi. Akan tetapi kami mohon maaf, tidak dapat menjawab pertanyaan tersebut, karena pertanyaan tersebut merupakan permasalahan implementasi norma dan kasus kongkrit diluar kewenangan Mahkamah Konstitusi sebagaimana diatur pada Pasal 24 C ayat (1) dan (2) UUD 1945, yaitu (1) Menguji undang-undang terhadap UUD RI tahun 1945; (2) Memutuskan sengketa kewenangan lembaga negara; (3) Memutuskan pembubaran partai politik; (4) Memutuskan perselisihan tentang hasil pemilihan umum; serta (5) Putusan atas pendapat DPR mengenai dugaan pelanggaran oleh Presiden dan/atau Wakil Presiden. Kami sarankan saudara dapat berkonsultasi dengan penasehat hukum terhadap masalah tersebut atau dapat juga melaporkan peristiwa yang saudara anggap sebagai pelanggaran tersebut kepada pihak yang berwenang. Kami juga doakan saudara dapat meraih cita-cita pekerjaan saudara menjadi dokter yang amanah dan bijaksana, serta selalu taat pada ketentuan peraturan perundang-undangan. Terima kasih."
"14","13965","Apa tak dan kewajiban negara","05-08-2021","Nurul alawiyah","07-08-2021","Salam Konstitusi. UUD 1945 sebagai konstitusi Indonesia, telah mengatur secara normatif beberapa kewajiban atau tanggung jawab negara, misalkan pada Pasal 28 I ayat (4) UUD 1945 mengatur, ""Perlindungan, pemajuan, penegakan, dan pemenuhan hak asasi manusia adalah tanggung jawab negara, terutama pemerintah"". Berarti seluruh hak konstitusional setiap orang khususnya warga negara yang dijamin dalam konstitusi maka negara berkewajiban menghargai (respect), memenuhi (fullfill) dan melindungi (protect) hak asasi manusia tersebut. Selanjutnya, mengenai pertanyaan hak negara, dalam perspektif hukum tata negara sesungguhnya kurang tepat melekatkan kata ""hak"" pada negara, substansi dalam konstitusi justru mengatur pembagian dan pembatasan kekuasaan negara yang diejawantahkan pada kewenangan-kewenangan lembaga negara. Misalkan kewenangan Presiden dan DPR untuk memberikan persetujuan bersama terhadap rancangan undang-undang sebagaimana diatur Pasal 20 ayat (2) UUD 1945, aturan ini tidak dikatakan sebagai ""hak"" negara dalam membentuk undang-undang, tapi lebih tepat kewenangan negara untuk membentuk undang-undang. Referensi:- UUD 1945- UU No. 39 tahun 1999 tentang Hak Asasi Manusia Terima kasih."
"15","13962","Pertanyaan Dinamika politik sedang proses pemilihan kepala daerah sesuuai keputusan MK PSU, pemilihan ulang yang ke 3 x kemudian Mahasiswai setempat meminta untuk bupati karateker jadi sesuai pengamatan mahasiswai ini ada jaminan atau tidak","02-08-2021","Sema Dabi","07-08-2021","Salam Konstitusi. Mohon maaf, kami belum dapat menjawab pertanyaan tersebut, karena kalimat pertanyaan kurang jelas. Silahkan menuliskan kembali rumusan pertanyaan dengan lebih baik. Terima kasih."
"16","13960","hukuman apa yang diberikan pada saat diketahui melanggar pasal 29 ayat 2 UD Negara Republik Indonesia tahun 1945","02-08-2021","PUTRI AMALIA","07-08-2021","Salam Konstitusi. Pasal 29 ayat (2) UUD 1945 mengatur, ""Negara menjamin kemerdekaan tiap-tiap penduduk untuk memeluk agamanya masing-masing dan untuk beribadat menurut agamanya dan kepercayaannya itu."" Terkait kebebasan beragama juga diatur dalam 28E ayat (1) UUD 1945, yakni "" Setiap orang bebas memeluk agama dan beribadah menurut agamanya, memilih pendidikan dan pengajaran, memilih pekerjaan, memilih kewarganegaraan, memilih tempat tinggal diwilayah negara dan meninggalkannya, serta berhak kembali."" Meskipun dalam konstitusi tidak diatur mengenai bentuk hukuman ketika terjadi pelanggaran terhadap hak konstituional ini. Namun, bukan berarti tidak terdapat hukuman terhadap tindakan-tindakan yang melanggar kebebasan beragama dan beribadat orang lain. Dalam praktik, hukuman biasanya akan dikaitkan dengan bentuk tindakan pelanggaran itu, misalkan menghalangi orang lain beribadah maka dapat dipidana dengan Pasal 175 KUHP, contoh lain misalkan tindakan perusakan rumah ibadah maka dapat dikenakan sanksi pidana secara umum yaitu Pasal 406 atau 410 KUHP terkait perusakan barang. Jadi, secara hukum, telah terdapat berbagai instrumen hukum mendukung penjaminan hak konstitusional kebebasan beragama warga negara. Referensi:- UUD 1945- KUHP (Kitab Undang-Undang Hukum Pidana) Terima kasih."
"17","13958","hak dan kewajiban warga negara indonesia sesuai dengan uud 1945","29-07-2021","Rita amelia","07-08-2021","Salam Konstitusi. UUD 1945 sebagai konstitusi Indonesia, mengatur terkait dengan hak-hak konstitusional warga negara. Dalam UUD 1945 penyebutan subjek hukum yang diberikan hak konstitusional dapat dengan frasa misalkan ""warga negara"", ""setiap orang"", ""penduduk"". Hak-hak ini tersebar diberbagai pasal dalam UUD 1945, khususnya Bab XA tentang Hak Asasi Manusia (Pasal 28A-28I). Misalkan: Pasal 28A (Hak hidup), Pasal 28B (Hak Berkeluarga), Pasal 28C (Hak Pengembangan Diri), dan hak lainnya silahkan baca di BAB XA ini. Ada pula hak konstitusional diluar Bab XA ini, seperti Pasal 30 (Hak ikut serta dalam Pertahanan dan Keamanan Negara) atau Pasal 31 ayat (1) (Hak Pendidikan). Sedangkan untuk kewajiban warga negara juga tersebar di berbagai pasal dalam UUD 1945, seperti Pasal 27 ayat (3) (Wajib ikut serta Pembelaan Negara), Pasal 28 J ayat (1) (Wajib menghormati HAM orang lain). Untuk, menemukan seluruh hak dan kewajiban warga negara dalam UUD 1945 secara rinci, sebenarnya cukup mudah melalui komputer, saudara dapat langsung mencari (ctrl+F) kata kunci ""hak"" atau ""wajib"", kemudian melihat subjek hukumnya adalah warga negara, orang atau penduduk. Referensi:- UUD 1945 Terima kasih"
"18","13948","Apakah ada aturan uu bila keterlambatan 1 bulan masuk ke 2 bulan blm sampai jatuh tempo barang bisa ditarik lelang","24-07-2021","Nurngaeni","03-08-2021","Salam Konstitusi.Mohon maaf, kami tidak dapat menjawab pertanyaan tersebut, karena merupakan permasalahan implementasi norma dan kasus kongkrit diluar kewenangan Mahkamah Konstitusi. Silahkan berkonsultasi dengan penasehat hukum.Terima kasih."
"19","13898","Halo selamat pagi, apakah saya bisa mendaftar magang untuk periode juli 2021","14-06-2021","Alfina","14-06-2021","Halo Alfina,  Terima kasih atas pertanyaan. Untuk periode magang berikutnya akan dilaksanakan pada bulan Oktober 2021. Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Untuk persyaratannya adalah melampirkan surat pengantar dari Universitas beserta proposal dan dapat diupload pada laman MKRI.  Semoga membantu."
"20","13897","Mau nanya min, untuk magang sendiri alurnya seperti apa ya Apakah bisa jika diakomodir secara perseorangan Atau mungkin ada informasi lebih lengkap terkait magang min Terima kasih.","14-06-2021","Ahmad Kemal Jauza","14-06-2021","Hai Ahmad, Terima kasih atas pertanyaannya.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Untuk persyaratannya adalah melampirkan surat pengantar dari Universitas beserta proposal dan dapat diupload pada laman MKRI.  Demikian, semoga membantu."
"21","13888","Selamat sore, saya izin bertanya, apakah MK membuka program magang untuk dibulan Juli Terima Kasih banyak","09-06-2021","Alisha Nadira","14-06-2021","Halo Alisha,  Untuk program Magang selanjutnya yang dibuka adalah periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Untuk persyaratannya adalah melampirkan surat pengantar dari Universitas beserta proposal dan dapat diupload pada laman MKRI.  Demikian, semoga membantu."
"22","13831","Saya salah satu mahasiswa hukum Tata Negara UIN Malik Ibrahim Malang, ingin bertanya untuk Magang atau Praktek Kerja Lapang DI MK sekarang atau biulan depan apa diperboleh secara offline","28-04-2021","Seto Ferdiantoro","29-04-2021","Hallo Seto,  Di masa pandemi Covid-19, magang di Mahkamah Konstitusi dilakukan secara online. Sejauh ini, belum ada rencana pelaksanaan magang secara offline seperti yang dilakukan sebelumnya hingga menunggu situasi kondusif. Mari kita berdoa bersama agar pandemi Covid-19 segera berakhir.  Terima kasi."
"23","13828","Assalamualaikum, Wr. Wb.Perkenalkan saya Annisa Salsabila dari Fakultas Hukum Universitas Bengkulu.Saya mohon izin untuk bertanya, kapankah waktu terakhir untuk mengirimkan proposal magang periode Oktober 2021Terima Kasih.Salam Hormat.","26-04-2021","Annisa Salsabila","29-04-2021","Waalaikumsalam Annisa,  Pada dasarnya, pengiriman proposal dapat dilakukan sebelum Magang dimulai. Untuk periode magang terakhir di tahun ini adalah pada bulan Oktober, sehingga proposal diharapkan diterima sebelum bulan Oktober 2021 sehingga kami dapat segera memproses proposal yang masuk. Namun, kami sarankan bagi Annisa untuk segera melakukan pendaftaran apabila seluruh persyaratan telah lengkap.  Demikian yang dapat kami sampaikan, semoga membantu. "
"24","13816","Assalamualaikum wr wbPermisi, saya Tariza mahasiswa tahun ketiga di tingkat universitasSaya ingin bertanya apakah bidang yang tersedia dalam program magang untuk mahasiswa prodi Teknik IndustiTerima kasih sebelumnya","21-04-2021","tarisa","21-04-2021","Waalaikumsalam Tariza,  Terima kasih atas pertanyaannya. Pada dasarnya magang di Mahkamah Konstitusi bertujuan untuk memberikan pengetahuan tentang proses bisnis pelayanan persidangan di Mahkamah Konstitusi. Magang ini diperbolehkan untuk semua jurusan, akan tetapi Tariza harus menyesuaikan program studi dengan kurikulum magang yang ada di MK, apakah sesuai dengan kebutuhan akademis Tariza atau tidak.  Salam."
"25","13801","assalamualaikum,mohon maaf sebelumnya, apakah bisa MK RI bekerja sama dengan suatu perguruan tinggi dalam lomba debat konstitusi, untuk mencantumkan lomba debat PIALA MPR RI, dan apa yang harus di siapkan untuk mengajukan kerja sama","11-04-2021","Muhammad Alamsyah","21-04-2021","Yth.Muhammad AlamsyahTerima kasih atas pertanyaannya. Untuk dapat bekerja sama dengan Mahkamah Konstitusi, Anda dapat mengirimkan proposal yang ditujukan kepada Bapak Sekretaris Jenderal Mahkamah Konstitusi ke email"
"26","13798","Selamat malam, maaf saya ingin bertanya mengenai magang mahasiswa tingkatt akhir. Apa saja persyaratan nya ya Terimakasi","09-04-2021","Jihan Farah","21-04-2021","Halo Jihan,  Terima kasih atas pertanyaannya.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Untuk persyaratannya adalah melampirkan surat pengantar dari Universitas beserta proposal dan dapat diupload pada laman MKRI. Saya informasikan bahwa saat ini Magang di MK yang masih dapat didaftar adalah untuk periode Oktober 2021.  Semoga membantu."
"27","13793","Hallo selamat sore..izin bertanya apakah dalam waktu dekat inni MK membuka lowongan magang terimakasih","05-04-2021","Antonius Jonathan FIrdaus","21-04-2021","Hallo Antonius,  Periode terdekat untuk Magang di MK adalah di Bulan Juni, namun saat ini pendaftaran telah ditutup dikarenakan banyaknya permohonan magang yang sudah masuk. Antonius dapat mendaftar untuk periode Oktober 2021 dengan mengakseslaman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Terima kasih.  Salam."
"28","13786","Untuk magang di mahkamah konstitusi apakah sudah dibuka Dan kalau belum kapan waktu intenship akan dibuka untuk mahasiswa hukumTerimakasih","01-04-2021","Asri ditia","21-04-2021","Hai Asri,  Periode Magang di MK saat ini yang masih tersedia adalah pada periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL.  Terima kasih dan semoga membantu."
"29","13784","Salam Konstitusi,Ijinkan kami bertanya, bagaimana prosedur yang harus kami lewati untuk melaksanakan kegiatanseminarkuliah umum (baik dalam bentuk online atau offline) yang narasumbernya berasal dari Mahkamah konstitusi","31-03-2021","irfan amir","21-04-2021","Yth. Irfan AmirTerima kasih atas pertanyaannya. Untuk dapat bekerja sama melaksanakan seminar atau kuliah umum dengan narasumber berasal dari Mahkamah Konstitusi, Anda dapat mengirimkan proposal yang ditujukan kepada Bapak Sekretaris Jenderal Mahkamah Konstitusi ke email"
"30","13776","Salam hormat, Mahkamah Konstitusi. Perkenalkan saya fatmawati mahasiswa semester 8 dari universitas negeri di surabaya hendak bertanya. Apakah dalam masa pandemi covid 19 dewasa kini, Mahkamah Konstitusi membuka kesempatan untuk magang oleh mahasiswa. Terimakasih","24-03-2021","Fatmawati","21-04-2021","Halo Fatmawati,  Dalam masa pandemi, MK membuka kesempatan untuk magang online dan saat ini jadwal yang tersedia adalah untuk periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL.  Terima kasih dan semoga membantu."
"31","13764","Perkenalkan nama saya Lisa, mahasiswa fakultas hukum universitas brawijaya, saya izin bertanya terkait agenda magang yang diadakan oleh Mahkamah Konstitusi apakah masih dibuka Karena saya telah mengajukan permohonan magang sejak bulan Januari namun belum ada konfirmasi dari pihak Mahkamah Konstitusi. Apabila program magang masih dibuka, terkait prosedur pengajuan yang benar seperti apa ya pakbu Terimakasih sebelumnya","18-03-2021","Lisa Nur Azizah","21-04-2021","Hai Lisa,  Mohon maaf atas ketidaknyamanannya. Untuk permohonan magang yang masuk akan dijawab melalui surat yang dikirimkan ke Universitas. Mohon untuk memeriksa kembali di kampus Lisa. Untuk program Magang berikutnya tersedia di bulan Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Mohon untuk mengupload surat pengantar dari Universitas beserta proposal Magang. Terima kasih banyak dan semoga membantu."
"32","13760","Apakah magang di MK pada masa pandemi diadakan secara Work From Home atau Work From Office","17-03-2021","Yoan Dwi Pratama","21-04-2021","Hai Yoan,  Magang di MK pada masa pandemi diadakan secara online. Untuk periode Magang yang tersedia saat ini adalah pada Bulan Oktober 2021. Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL.  Terima kasih dan semoga membantu."
"33","13757","Selamat siang,Apakah di masa pandemi ini, Mahkamah Konstitusi membuka kesempatan magang untuk mahasiswa fakultas hukumTerimakasih","15-03-2021","Maullana Tegar","21-04-2021","Halo Maullana,  Pada masa pandemi Covid-19, magang dilakukan secara online. Untuk magang yang tersedia saat ini akan dilaksanakan pada periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL.  Terima kasih dan semoga membantu."
"34","13750","Assalamualaikum Warahmatullahi Wabarakatuh, Salam SejahteraSaya Hadhika Afghani Imansyah, mahasiswa S1 Ilmu Hukum Universitas Sebelas Maret izin bertanya terkait magang di Mahkamah Konstitusi.Apakah masih dibuka untuk program magangTerima Kasih...","12-03-2021","HADHIKA AFGHANI IMANSYAH","21-04-2021","Waalaikumsalam Wr. Wb. Hadhika,  Untuk magang di MK saat ini yang masih tersedia adalah untuk periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Adapun persyaratan yang dibutuhkan adalah surat pengantar dari Dekan atau Universitas dan proposal Magang yang diupload pada laman MK.  Salam."
"35","13749","Assalamualaikum Warahmatullahi Wabarakatuh, Salam SejahteraSaya Hadhika Afghani Imansyah, mahasiswa S1 Ilmu Hukum Universitas Sebelas Maret izin bertanya terkait magang di Mahkamah Konstitusi.Apakah masih dibuka untuk program magangTerima Kasih...","12-03-2021","HADHIKA AFGHANI IMANSYAH","21-04-2021","Waalaikumsalam Wr. Wb. Hadhika,  Untuk magang di MK saat ini yang masih tersedia adalah untuk periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Adapun persyaratan yang dibutuhkan adalah surat pengantar dari Dekan atau Universitas dan proposal Magang yang diupload pada laman MK.  Salam."
"36","13745","Perkenalkan nama saya Faja Arya P.H mahasiswa Fakultas Hukum UPN Veteran Jawa Timur. Izin bertanya apakah MK membuka pendaftaran magang periode 2021 Jika iya, syarat apa saja yang digunakan untuk alur prosedur pendaftaran magang di MK secara detail dan lengkap, meninjau kebijakan bahwa magang sebagai syarat penilaian kelulusan untuk mahasiswa tingkat akhir. Besar harapan saya mendapat balasan dari bapakibu yang terhormat sekalian.Terima Kasih.","11-03-2021","Faja Arya","21-04-2021","Hai Faja,  Untuk magang di MK saat ini yang masih tersedia adalah untuk periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Adapun persyaratan yang dibutuhkan adalah surat pengantar dari Dekan atau Universitas dan proposal Magang yang diupload pada laman MK.  Terima kasih."
"37","13744","Perkenalkan nama saya Faja Arya P.H mahasiswa Fakultas Hukum UPN Veteran Jawa Timur. Izin bertanya apakah MK membuka pendaftaran magang periode 2021 Jika iya, syarat apa saja yang digunakan untuk alur prosedur pendaftaran magang di MK secara detail dan lengkap, meninjau kebijakan bahwa magang sebagai syarat penilaian kelulusan untuk mahasiswa tingkat akhir. Besar harapan saya mendapat balasan dari bapakibu yang terhormat sekalian.Terima Kasih.","11-03-2021","Faja Arya","21-04-2021","Hai Faja,  Untuk magang di MK saat ini yang masih tersedia adalah untuk periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Adapun persyaratan yang dibutuhkan adalah surat pengantar dari Dekan atau Universitas dan proposal Magang yang diupload pada laman MK.  Semoga membantu. "
"38","13737","Selamat malam, perkenalkan saya Andri Halomoan Manullang. Mahasiswa FH UI angkatan 2019 yang sedang menempuh semester 4. Saya ingin bertanya kepada lembaga Mahkamah Konstitusi RI terkait. apakah saat ini lembaga MK sedang membuka kesempatan magang untuk mahasiswa aktif seperti saya. Terima kasih.","06-03-2021","Andri Halomoan M","21-04-2021","Hai Andri,  Pada masa pandemi, magang di MK dilakukan secara online. Untuk magang di MK saat ini yang masih tersedia adalah untuk periode Oktober 2021.Pengajuan magang dapat dilakukan melalui laman MK mkri.id pada menu Hubungi MK, dengan pilihan Magang/KKN/KKL. Adapun persyaratan yang dibutuhkan adalah surat pengantar dari Dekan atau Universitas dan proposal Magang yang diupload pada laman MK.  Demikian yang dapat saya sampaikan. Semoga membantu."
